id,type,submitdate,extraversion,agreeableness,conscientiousness,stability,intellect,gender,ipip_extraversion_category,ipip_agreeableness_category,ipip_conscientiousness_category,ipip_stability_category,ipip_intellect_category
50,bfpt,2021-05-31,19.0,30.0,25.0,21.0,30.0,MALE,LOW,LOW,LOW,LOW,LOW
54,bfpt,2021-11-24,35.0,44.0,21.0,33.0,35.0,FEMALE,AVERAGE,HIGH,LOW,HIGH,AVERAGE
56,bfpt,2021-05-31,28.0,45.0,35.0,36.0,41.0,FEMALE,AVERAGE,HIGH,AVERAGE,HIGH,HIGH
57,bfpt,2021-06-02,31.0,29.0,25.0,30.0,30.0,MALE,AVERAGE,LOW,LOW,AVERAGE,LOW
58,bfpt,2021-06-07,40.0,42.0,43.0,32.0,37.0,FEMALE,HIGH,AVERAGE,HIGH,HIGH,AVERAGE
61,bfpt,2021-11-24,26.0,38.0,41.0,25.0,39.0,FEMALE,LOW,LOW,HIGH,AVERAGE,HIGH
63,bfpt,2021-06-02,19.0,36.0,28.0,35.0,35.0,FEMALE,LOW,LOW,LOW,HIGH,AVERAGE
64,bfpt,2021-11-22,30.0,36.0,41.0,33.0,37.0,MALE,AVERAGE,AVERAGE,HIGH,AVERAGE,AVERAGE
65,bfpt,2021-11-24,13.0,26.0,28.0,28.0,34.0,MALE,LOW,LOW,LOW,AVERAGE,LOW
66,bfpt,2021-06-02,41.0,29.0,33.0,17.0,30.0,FEMALE,HIGH,LOW,AVERAGE,LOW,LOW
67,bfpt,2021-05-31,39.0,36.0,23.0,40.0,28.0,MALE,HIGH,AVERAGE,LOW,HIGH,LOW
68,bfpt,2021-07-21,33.0,34.0,36.0,32.0,38.0,MALE,HIGH,AVERAGE,AVERAGE,AVERAGE,AVERAGE
69,bfpt,2021-05-31,42.0,42.0,38.0,31.0,41.0,FEMALE,HIGH,AVERAGE,HIGH,AVERAGE,HIGH
71,bfpt,2021-06-01,34.0,46.0,33.0,18.0,40.0,FEMALE,AVERAGE,HIGH,AVERAGE,LOW,HIGH
